number,text
marginalnote 1,"Aureolus invades Italy, is defeated and beſieged at Milan."
marginalnote 2,A. D. 268.
marginalnote 3,A. D. 268. March 20. Death of Gallienus.
marginalnote 4,Character and elevation of the emperor Claudius.
marginalnote 5,Death of Aureolus.
marginalnote 6,Clemency and juſtice of Claudius.
marginalnote 7,He undertakes the reformation of the army.
marginalnote 8,A. D. 269. The Goths invade the empire.
marginalnote 9,Diſtreſs and firmneſs of Claudius.
marginalnote 10,His victory over the Goths.
marginalnote 11,A. D. 270.
marginalnote 12,"March. Death of the emperor, who recommends Aurelian for his ſucceſſor."
marginalnote 13,The attempt and fall of Quintilius.
marginalnote 14,April.
marginalnote 15,Origin and ſervices of Aurelian.
marginalnote 16,Aurelian's ſucceſsful reign.
marginalnote 17,His ſevere diſcipline.
marginalnote 18,"He concludes a treaty with the Goths,"
marginalnote 19,and reſigns to them the province of Dacia.
marginalnote 20,The Alemannie war.
marginalnote 21,A. D. 270. September.
marginalnote 22,"The Alemanni invade Italy,"
marginalnote 23,and are at laſt vanquiſhed by Aurelian.
marginalnote 24,Superſtitious ceremonies.
marginalnote 25,A. D. 271. January 11.
marginalnote 26,Fortifications of Rome.
marginalnote 27,Aurelian ſuppreſſes the two uſurpers.
marginalnote 28,Succeſſion of uſurpers in Gaul.
marginalnote 29,The reign and defeat of Tetricus.
marginalnote 30,A. D. 271. Summer.
marginalnote 31,A. D. 272. Character of Zenobia;
marginalnote 32,her beauty and learning;
marginalnote 33,her valour.
marginalnote 34,"She revenges her huſband's death,"
marginalnote 35,A. D. 250.
marginalnote 36,and reigns over the Eaſt and Egypt.
marginalnote 37,The expedition of Aurelian. A. D. 272.
marginalnote 38,The emperor defeats the Palmyrenians in the battles of Antioch and Emeſa.
marginalnote 39,The ſtate of Palmyra.
marginalnote 40,"It is beſieged by Aurelian,"
marginalnote 41,who becomes maſter of Zenobia and of the city.
marginalnote 42,A. D. 273.
marginalnote 43,Behaviour of Zenobia.
marginalnote 44,Rebellion and ruin of Palmyra.
marginalnote 45,Aurelian ſuppreſſes the rebellion of Firmus in Egypt.
marginalnote 46,A. D 274.
marginalnote 47,Triumph of Aurelian.
marginalnote 48,His treatment of Tetricus and Zenobia.
marginalnote 49,His magnificence and devotion.
marginalnote 50,He ſuppreſſes a ſedition at Rome.
marginalnote 51,Obſervations upon it.
marginalnote 52,Cruelty of Aurelian.
marginalnote 53,"He marches into the Eaſt, and is aſſaſſinated."
marginalnote 54,A. D. 274. October.
marginalnote 55,A. D. 275. January.
marginalnote 56,Extraordinary conteſt between the army and the ſenate for the choice of an emperor.
marginalnote 57,A. D. 275. Feb. 3.
marginalnote 58,A peaceful interregnum of eight months.
marginalnote 59,A. D. 275. Sept. 25.
marginalnote 60,The conſul aſſembles the ſenate.
marginalnote 61,Character of Tacitus.
marginalnote 62,"He is elected emperor,"
marginalnote 63,and accepts the purple.
marginalnote 64,Authority of the ſenate.
marginalnote 65,Their joy and confidence.
marginalnote 66,A. D. 276. Tacitus is acknowledged by the army.
marginalnote 67,"The Alani invade Aſia, and are repulſed by Tacitus."
marginalnote 68,Death of the emperor Tacitus.
marginalnote 69,A. D. 276. April 12.
marginalnote 70,Uſurpation and death of his brother Florianus.
marginalnote 71,July.
marginalnote 72,Their family ſubſiſts in obſcurity.
marginalnote 73,Character and elevation of the emperor Probus.
marginalnote 74,His reſpectful conduct towards the ſenate.
marginalnote 75,A. D. 276. Auguſt 3.
marginalnote 76,Victories of Probus over the barbarians.
marginalnote 77,A. D. 277.
marginalnote 78,"He delivers Gaul from the invaſion of the Germans,"
marginalnote 79,and carries his arms into Germany.
marginalnote 80,He builds a wall from the Rhine to the Danube.
marginalnote 81,Introduction and ſettlement of the barbarians.
marginalnote 82,Daring enterpriſe of the Franks.
marginalnote 83,Revolt of Saturninus in the Eaſt;
marginalnote 84,A. D. 279.
marginalnote 85,A. D. 280. of Bonoſus and Proculus in Gaul.
marginalnote 86,A. D. 281.
marginalnote 87,Triumph of the emperor Probus.
marginalnote 88,His diſcipline.
marginalnote 89,His death.
marginalnote 90,"A. D. 282, Auguſt."
marginalnote 91,Election and character of Carus.
marginalnote 92,The ſentiments of the ſenate and people.
marginalnote 93,"Carus defeats the Sarmatians, and marches into the Eaſt;"
marginalnote 94,A. D. 283.
marginalnote 95,he gives audience to the Perſian ambaſſadors.
marginalnote 96,His victories and extraordinary death.
marginalnote 97,A. D. 283. Dec. 25.
marginalnote 98,He is ſucceeded by his two ſons Carinus and Numerian.
marginalnote 99,A. D. 384. Vices of Carinus.
marginalnote 100,He celebrates the Roman games.
marginalnote 101,Spectacles of Rome.
marginalnote 102,The amphitheatre.
marginalnote 103,A. D. 284. Sept. 12.
marginalnote 104,Return of Numerian with the army from Perſia.
marginalnote 105,Death of Numerian.
marginalnote 106,A. D. 284. Sept. 17.
marginalnote 107,Election of the emperor Diocletian.
marginalnote 108,Defeat and death of Carinus.
marginalnote 109,A. D. 285. May.
marginalnote 110,Elevation and character of Diocletian.
marginalnote 111,A. D. 285.
marginalnote 112,His clemency and victory.
marginalnote 113,Aſſociation and character of Maximian.
marginalnote 114,A. D 286. April 1.
marginalnote 115,Aſſociation of two Caeſars.
marginalnote 116,Galerius and Conſtantius.
marginalnote 117,A. D. 292. March 1.
marginalnote 118,Departments and harmony of the four princes.
marginalnote 119,Series of events.
marginalnote 120,A. D. 287. State of the peaſants of Gaul.
marginalnote 121,"Their rebellion,"
marginalnote 122,and chaſtiſement.
marginalnote 123,A. D. 287.
marginalnote 124,Revolt of Carauſius in Britain.
marginalnote 125,Importance of Britain.
marginalnote 126,"Power of Carauſius,"
marginalnote 127,A. D. 289. acknowledged by the other emperors.
marginalnote 128,A. D. 292.
marginalnote 129,A. D. 294.
marginalnote 130,His death.
marginalnote 131,A. D. 296.
marginalnote 132,Recovery of Britain by Conſtantius.
marginalnote 133,Defence of the frontiers.
marginalnote 134,Fortifications.
marginalnote 135,Diſſentions of the barbarians.
marginalnote 136,Conduct of the emperors.
marginalnote 137,Valour of the Caeſars.
marginalnote 138,Treatment of the barbarians.
marginalnote 139,Wars of Africa and Egypt.
marginalnote 140,A. D. 296.
marginalnote 141,Conduct of Diocletian in Egypt.
marginalnote 142,He ſuppreſſes books of alchymy.
marginalnote 143,Novelty and progreſs of that art.
marginalnote 144,The Perſian war.
marginalnote 145,Tiridates the Armenian.
marginalnote 146,A. D. 282.
marginalnote 147,A. D. 286.
marginalnote 148,His reſtoration to the throne of Armenia.
marginalnote 149,State of the country.
marginalnote 150,Revolt of the people and nobles.
marginalnote 151,Story of Mamgo.
marginalnote 152,The Perſians recover Armenia.
marginalnote 153,War between the Perſians and the Romans.
marginalnote 154,A. D. 296.
marginalnote 155,Defeat of Galerius.
marginalnote 156,His reception by Diocletian.
marginalnote 157,Second campaign of Galerius.
marginalnote 158,A. D. 297.
marginalnote 159,His victory.
marginalnote 160,and behaviour to his royal captives.
marginalnote 161,Negociation for peace.
marginalnote 162,Speech of the Perſian ambaſſador.
marginalnote 163,Anſwer of Galerius.
marginalnote 164,Moderation of Diocletian.
marginalnote 165,Concluſion
marginalnote 166,and articles of the treaty.
marginalnote 167,The Aboras fixed as the limits between the empires.
marginalnote 168,Ceſſion of five provinces beyond the Tigris.
marginalnote 169,Armenia.
marginalnote 170,Iberia.
marginalnote 171,Triumph of Diocletian and Maximian.
marginalnote 172,A. D. 303. Nov. 20.
marginalnote 173,Long abſence of the emperors from Rome.
marginalnote 174,Their reſidence at Milan
marginalnote 175,and Nicomedia.
marginalnote 176,Debaſement of Rome and of the ſenate.
marginalnote 177,"New bodies of guards, Jovians and Herculians."
marginalnote 178,Civil magiſtracies laid aſide.
marginalnote 179,Imperial dignity and titles.
marginalnote 180,"Diocletian aſſumes the diadem, and introduces the Perſian ceremonial."
marginalnote 181,"New form of adminiſtration, two Auguſti, and two Caeſars."
marginalnote 182,Increaſe of taxes.
marginalnote 183,Abdication of Diocletian and Maximian.
marginalnote 184,Reſemblance to Charles the Fifth.
marginalnote 185,A. D. 304. Long illneſs of Diocletian.
marginalnote 186,His prudence.
marginalnote 187,A. D. 305. May 1.
marginalnote 188,Compliance of Maximian.
marginalnote 189,Retirement of Diocletian at Salona.
marginalnote 190,"His philoſophy,"
marginalnote 191,and death. A. D. 313.
marginalnote 192,Deſcription of Salona and the adjacent country.
marginalnote 193,Of Diocletian's palace.
marginalnote 194,Decline of the arts.
marginalnote 195,Of letters.
marginalnote 196,The new Platoniſts.
marginalnote 197,Period of civil wars and confuſion.
marginalnote 198,A. D. 305—323.
marginalnote 199,Character and ſituation of Conſtantius.
marginalnote 200,Of Galerius.
marginalnote 201,"The two Caeſars, Severus and Maximin."
marginalnote 202,Ambition of Galerius diſappointed by two revolutions.
marginalnote 203,"Birth, education, and eſcape of Conſtantine. A. D. 274."
marginalnote 204,A. D. 292.
marginalnote 205,"Death of Conſtantius, and elevation of Conſtantine. A. D. 306. July 25."
marginalnote 206,"He is acknowledged by Galerius, who gives him only the title of Caeſar, and that of Auguſtus to Severus."
marginalnote 207,The brothers and ſiſters of Conſtantine.
marginalnote 208,Diſcontent of the Romans at the apprehenſion of taxes.
marginalnote 209,Maxentius declared emperor at Rome. A. D. 306. 28th Oct.
marginalnote 210,Maximian re-aſſumes the purple.
marginalnote 211,Defeat and death of Severus.
marginalnote 212,A. D. 307. February.
marginalnote 213,"Maximian gives his daughter Fauſta, and the title of Auguſtus, to Conſtantine. A. D. 307. March 31."
marginalnote 214,Galerius invades Italy.
marginalnote 215,His retreat.
